0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 125
21, 724
22, 470
23, 138
24, 67
25, 243
26, 201
27, 192
28, 167
29, 161
30, 155
31, 133
32, 152
33, 111
34, 121
35, 119
36, 59
37, 67
38, 69
39, 60
40, 70
41, 61
42, 54
43, 61
44, 51
45, 50
46, 55
47, 63
48, 73
49, 85
50, 108
51, 163
52, 262
53, 358
54, 540
55, 857
56, 1245
57, 1868
58, 2839
59, 4145
60, 5701
61, 7096
62, 8523
63, 9391
64, 9698
65, 9353
66, 8140
67, 6890
68, 5417
69, 4055
70, 2854
71, 2006
72, 1364
73, 926
74, 619
75, 438
76, 288
77, 206
78, 156
79, 108
80, 67
81, 57
82, 38
83, 30
84, 13
85, 11
86, 6
87, 6
88, 1
